NO,개설부서,교과목-분반,교과목명,이수구분,교과연구,담당교수,"과정
구분",강/실/학,시간표,강의실,"수강
정원","강의
계획서","설명
영상",강의언어
150,기초교육학부,GS2652-05,영어 II : 이공계 글쓰기 입문,필수,교과,존 윌스[62914],학사,3/0/2,"화 10:30~12:00
목 10:30~12:00",,15,view,,English
151,기초교육학부,GS2652-06,영어 II : 이공계 글쓰기 입문,필수,교과,숀트 카자[62318],학사,3/0/2,"화 13:00~14:30
목 13:00~14:30",,15,view,,English
152,기초교육학부,GS2652-07,영어 II : 이공계 글쓰기 입문,필수,교과,숀트 카자[62318],학사,3/0/2,"화 14:30~16:00
목 14:30~16:00",,15,view,,English
153,기초교육학부,GS2656-01,상품의 역사,선택,교과,김동혁[62921],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,20,view,,
154,기초교육학부,GS2661-01,논리와 비판적 사고,선택,교과,원치욱[62072],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,
155,기초교육학부,GS2701-01,한국사회의 이해,선택,교과,장진호[60880],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",,30,view,,
156,기초교육학부,GS2702-01,미국사회의 이해,선택,교과,장진호[60880],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,25,view,,English/Korean
157,기초교육학부,GS2704-01,기업과 사회 Ⅰ,선택,교과,장진호[60880],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,25,view,,
158,기초교육학부,GS2726-01,글로벌 경제의 이해,선택,교과,김상호[61574],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,30,view,,Korean
159,기초교육학부,GS2730-01,해외경제론,선택,교과,김상호[61574],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,30,view,,Korean
160,기초교육학부,GS2731-01,미시경제학,선택,교과,김희삼[62310],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,
161,기초교육학부,GS2734-01,행복의 조건,선택,교과,김희삼[62310],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,
162,기초교육학부,GS2742-01,인간의 마음과 행동 1,선택,교과,최원일[62488],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,
163,기초교육학부,GS2748-01,언어와 마음: 언어심리학적 접근,선택,교과,최원일[62488],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,
164,기초교육학부,GS2750-01,경영학원론,선택,교과,진규호[62454],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,30,view,,
165,기초교육학부,GS2752-01,기술혁신전략,선택,교과,진규호[62454],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,
166,기초교육학부,GS2794-01,현대사회사상의 흐름,선택,교과,,학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,30,view,,Korean
167,기초교육학부,GS2795-01,문명으로 보는 21세기,선택,교과,,학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,30,view,,Korean
168,기초교육학부,GS2809-01,아름다운 지구,선택,교과,수띠퐁 스띠아노프카오[63371],학사,3/0/3,"월 09:00~10:30
화 09:00~10:30",지스트대학A동(110),0,view,,
169,기초교육학부,GS2810-01,빅히스토리: 우주와 인간의 역사,선택,교과,김근영[61666],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,16,view,,Korean
170,기초교육학부,GS2823-01,수학의 위대한 순간들 - AI,선택,교과,김홍종[63637],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,Korean
171,기초교육학부,GS2832-01,기술과 문화,선택,교과,하대청[62922],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,Korean
172,기초교육학부,GS2834-01,역사 속의 과학,선택,교과,하대청[62922],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,
173,기초교육학부,GS2932-01,독일어 2,선택,교과,민춘기[61903],학사,2/0/2,금 09:00~11:00,,20,view,,
174,기초교육학부,GS3001-01,해석학과 응용,선택,교과,김재길[62813],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,30,view,,
175,기초교육학부,GS3504-01,한국근현대작가론,선택,교과,차미령[61159],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,20,view,,
176,기초교육학부,GS3623-01,한문으로 읽는 동양고전,선택,교과,이용주[60940],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,30,view,,
177,기초교육학부,GS3663-01,종교와 과학,선택,교과,이용주[60940],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,20,view,,
178,기초교육학부,GS3735-01,한국의 경제발전,선택,교과,김상호[61574],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",,30,view,,Korean
179,기초교육학부,GS3752-01,전략경영 II,선택,교과,진규호[62454],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",,30,view,,
180,기초교육학부,GS3764-01,뇌와 인지,선택,교과,최원일[62488],학사,3/0/3,"화 14:30~16:00
목 14:30~16:00",,30,view,,
181,기초교육학부,GS3785-01,국가와 시민사회론,선택,교과,임혁백[62814],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,30,view,,Korean
182,기초교육학부,GS3786-01,정치경제론,선택,교과,임혁백[62814],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,Korean
183,기초교육학부,GS3802-01,과학자 문학,선택,교과,이시연[60939],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,30,view,,
184,기초교육학부,GS3804-01,현대고급기기분석,선택,교과,김상돈[01159],학사,2/2/3,"월 16:00~17:30
월 17:30~19:00",,12,view,,
185,기초교육학부,GS3831-01,과학기술학의 이해: 과학사회논쟁의 쟁점과 윤리,선택,교과,하대청[62922],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,Korean
186,기초교육학부,GS4004-01,현대대수학,선택,교과,송정민[61101],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,30,view,,
187,기초교육학부,GS4010-01,이산수학,선택,교과,전성찬[60470],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,40,view,,
